Location,Servings_2014,Servings_2015,Servings_2016,Servings_2017
China/Hong Kong,44400,40430,38520,38970
Indonesia,13430,13430,13010,12620
Japan,5500,5540,5660,5660
India,5430,3260,4270,5420
Viet Nam,5000,4800,4920,5060
USA,4280,4080,4100,4130
Philippines,3320,3480,3410,3750
Republic of Korea,3590,3650,3830,3740
Thailand,3070,3070,3360,3390
Brazil,2370,2370,2530,2230
Russia,1940,1840,1570,1780
Nigeria,1520,1540,1650,1760
Nepal,1110,1190,1340,1480
Malaysia,1340,1370,1390,1310
Mexico,900,850,890,960
Taiwan,710,680,770,820
Myanmar,410,460,570,590
Saudi Arabia,490,510,510,530
Australia,360,370,380,390
UK,360,360,360,360
Bangladesh,250,270,293,350
Cambodia,250,270,280,330
Ukraine,580,410,280,330
Poland,300,310,310,310
Guatemala,210,190,270,270
South Africa,190,190,200,240
Egypt,190,200,210,220
Kazakhstan,140,140,240,210
Germany,180,190,200,200
Canada,190,190,190,190
Pakistan,150,160,170,190
Peru,120,130,130,140
Singapore,130,130,130,130
Uzbekistan,110,110,100,120
New Zealand,80,80,80,80
Czech Republic,60,90,90,80
Ethiopia,40,50,40,80
Spain,40,50,70,70
France,60,60,60,60
Turkey,20,30,40,50
Iran,40,40,40,50
Kenya,40,40,50,50
Sweden,30,30,40,40
Hungary,20,20,30,30
Netherlands,20,20,20,30
Chile,40,40,30,20
Italy,10,20,20,20
Belgium,20,20,20,20
Colombia,10,10,10,10
Costa Rica,10,10,10,10
Denmark,20,10,10,10
Finland,10,10,10,10
Switzerland,10,10,10,10
Argentina,10,10,10,10
Others,940,940,930,115
